volume_usd,symbol,date,post_nov_2022
2920815525,USDC,2023-08-07,1
3392828372,USDC,2023-08-08,1
3123624699,USDC,2023-08-09,1
2804649587,USDC,2023-08-10,1
2442850118,USDC,2023-08-11,1
1641540904,USDC,2023-08-12,1
1761869668,USDC,2023-08-13,1
2921375821,USDC,2023-08-14,1
2774696602,USDC,2023-08-15,1
3289212879,USDC,2023-08-16,1
6519582155,USDC,2023-08-17,1
4966467815,USDC,2023-08-18,1
2489094112,USDC,2023-08-19,1
2106341342,USDC,2023-08-20,1
3060565177,USDC,2023-08-21,1
3647897906,USDC,2023-08-22,1
3730953867,USDC,2023-08-23,1
2907706728,USDC,2023-08-24,1
2870155394,USDC,2023-08-25,1
1491868952,USDC,2023-08-26,1
1551269738,USDC,2023-08-27,1
2747710982,USDC,2023-08-28,1
4288358015,USDC,2023-08-29,1
3635286825,USDC,2023-08-30,1
4228660874,USDC,2023-08-31,1
3352194868,USDC,2023-09-01,1
1764318129,USDC,2023-09-02,1
1878209470,USDC,2023-09-03,1
2275770718,USDC,2023-09-04,1
2529858601,USDC,2023-09-05,1
2855555338,USDC,2023-09-06,1
2428528084,USDC,2023-09-07,1
2652808484,USDC,2023-09-08,1
1288697563,USDC,2023-09-09,1
2034179122,USDC,2023-09-10,1
3827178715,USDC,2023-09-11,1
4520366160,USDC,2023-09-12,1
3192111737,USDC,2023-09-13,1
3162074793,USDC,2023-09-14,1
2660676460,USDC,2023-09-15,1
1708005224,USDC,2023-09-16,1
1585056981,USDC,2023-09-17,1
3435389761,USDC,2023-09-18,1
3053934292,USDC,2023-09-19,1
3103179365,USDC,2023-09-20,1
2975710420,USDC,2023-09-21,1
2571335978,USDC,2023-09-22,1
1770927144,USDC,2023-09-23,1
1785908523,USDC,2023-09-24,1
2956159954,USDC,2023-09-25,1
2698152867,USDC,2023-09-26,1
2473184892,USDC,2023-09-27,1
3111905152,USDC,2023-09-28,1
2434341381,USDC,2023-09-29,1
1372115519,USDC,2023-09-30,1
2061687654,USDC,2023-10-01,1
4197739502,USDC,2023-10-02,1
2520912223,USDC,2023-10-03,1
2560902818,USDC,2023-10-04,1
2671315261,USDC,2023-10-05,1
2590803813,USDC,2023-10-06,1
