country_iso3,country_name,year,adoption_percentile,rank,rank_note,overall_score,centralized_service_value_received_rank,defi_value_received_rank,institutional_centralized_service_value_received_rank,number_of_onchain_deposits_rank,onchain_retail_value_received_rank,onchain_value_received_rank,p2p_exchange_trade_volume_rank,retail_centralized_service_value_received_rank,retail_defi_value_received_rank,gdp_per_capita_usd,inflation_cpi_annual_pct,financial_account_baseline,baseline_year,remittances_received_pct_gdp,post_2022,is_forward_filled
BRN,Brunei Darussalam,2022,0.0068965517241379,145.0,,,146.0,141.0,,,,,139.0,146.0,141.0,36632.9280952155,3.68225030604216,,,,0,False
BRN,Brunei Darussalam,2023,0.0129870129870129,153.0,,,152.0,150.0,,,,,152.0,152.0,150.0,32890.5491812019,0.35706431153689,,,,1,False
BRN,Brunei Darussalam,2025,0.0465116279069767,124.0,,,123.0,127.0,124.0,,,,,122.0,,33153.4738913513,-0.388674165036461,,,,1,True
BWA,Botswana,2020,0.2214285714285714,110.0,,0.016,,,,100.0,134.0,135.0,75.0,,,6323.2974967659,1.8903591682421,61.4384690565565,2024.0,0.295602661286554,0,False
BWA,Botswana,2021,0.1688311688311687,129.0,,0.01,,,,,138.0,143.0,22.0,,,7807.88794570471,7.24097765588442,61.4384690565565,2024.0,0.323109444541782,0,False
BWA,Botswana,2022,0.1172413793103448,129.0,,,135.0,138.0,,,,,51.0,135.0,138.0,8328.7090572666,11.665567478802,61.4384690565565,2024.0,0.306272176448881,0,False
BWA,Botswana,2023,0.0714285714285714,144.0,,,144.0,141.0,,,,,132.0,147.0,141.0,7826.35376483298,5.0676154934383,61.4384690565565,2024.0,0.360745147280346,1,False
BWA,Botswana,2024,0.0,151.0,,,150.0,148.0,,,,,,145.0,154.0,7695.75319445165,2.81835131676251,61.4384690565565,2024.0,0.661264409337821,1,False
BWA,Botswana,2025,0.0,130.0,,,131.0,128.0,131.0,,,,,131.0,,7695.75319445165,2.81835131676251,61.4384690565565,2024.0,0.661264409337821,1,True
CAN,Canada,2020,0.8357142857142857,24.0,,0.196,,,,45.0,31.0,28.0,37.0,,,43537.839298904,0.716999632307827,98.4047126063262,2024.0,0.049637012939377,0,False
CAN,Canada,2021,0.8051948051948052,31.0,,0.09,,,,,20.0,19.0,103.0,,,52886.6616372703,3.39519318527528,98.4047126063262,2024.0,0.0411150827860872,0,False
CAN,Canada,2022,0.8551724137931034,22.0,,,28.0,14.0,,,,,96.0,28.0,8.0,56256.8007264015,6.80280115341613,98.4047126063262,2024.0,0.039437208123801,0,False
CAN,Canada,2023,0.8831168831168831,19.0,,,25.0,14.0,,,,,62.0,23.0,14.0,54220.3285039875,3.87900159788426,98.4047126063262,2024.0,0.0389811694078447,1,False
CAN,Canada,2024,0.8866666666666667,18.0,,,22.0,16.0,,,,,,26.0,15.0,54340.3477224733,2.38158383281173,98.4047126063262,2024.0,0.0379490070926434,1,False
CAN,Canada,2025,0.7984496124031008,27.0,,,29.0,27.0,23.0,,,,,37.0,,54340.3477224733,2.38158383281173,98.4047126063262,2024.0,0.0379490070926434,1,True
CHE,Switzerland,2020,0.5714285714285714,61.0,,0.08,,,,20.0,69.0,55.0,85.0,,,85897.7843338323,-0.725874933313384,98.412309687795,2024.0,0.418815724820597,0,False
CHE,Switzerland,2021,0.538961038961039,72.0,,0.04,,,,,56.0,43.0,112.0,,,93664.7736696111,0.581814168489856,98.412309687795,2024.0,0.394169722896814,0,False
CHE,Switzerland,2022,0.5517241379310345,66.0,,,57.0,36.0,,,,,76.0,57.0,38.0,94394.5106803525,2.83502798644463,98.412309687795,2024.0,0.400685830735044,0,False
