date,asset,transfer_volume_usd,post_nov_2022,active_addresses,active_addresses_squared
2021-01-04,USDC,2201035267,0,24427,596678329
2021-01-05,USDC,1662321027,0,25168,633428224
2021-01-06,USDC,1791474728,0,27594,761428836
2021-01-07,USDC,2265386969,0,27131,736091161
2021-01-08,USDC,2236539817,0,27241,742072081
2021-01-09,USDC,1553771951,0,29926,895565476
2021-01-10,USDC,1917152178,0,26965,727111225
2021-01-11,USDC,3166658513,0,24928,621405184
2021-01-12,USDC,1934826250,0,23037,530703369
2021-01-13,USDC,1739625823,0,22189,492351721
2021-01-14,USDC,1810728488,0,24237,587432169
2021-01-15,USDC,1630000401,0,24357,593263449
2021-01-16,USDC,1671304227,0,22154,490799716
2021-01-17,USDC,1463914697,0,22435,503329225
2021-01-18,USDC,1412016575,0,22401,501804801
2021-01-19,USDC,2019188111,0,23505,552485025
2021-01-20,USDC,1814079623,0,23861,569347321
2021-01-21,USDC,1853154939,0,23002,529092004
2021-01-22,USDC,2196461508,0,24534,601917156
2021-01-23,USDC,1287925958,0,19860,394419600
2021-01-24,USDC,1335242694,0,18610,346332100
2021-01-25,USDC,1637162641,0,22312,497825344
2021-01-26,USDC,1584592377,0,26980,727920400
2021-01-27,USDC,1674268317,0,24078,579750084
2021-01-28,USDC,1532598984,0,26515,703045225
2021-01-29,USDC,2410429032,0,33182,1101045124
2021-01-30,USDC,1443344471,0,25328,641507584
2021-01-31,USDC,1245897595,0,23636,558660496
2021-02-01,USDC,1456048772,0,26227,687855529
2021-02-02,USDC,1750372396,0,26523,703469529
2021-02-03,USDC,1827257483,0,27719,768342961
2021-02-04,USDC,1864772386,0,30432,926106624
2021-02-05,USDC,1722650454,0,29462,868009444
2021-02-06,USDC,1802646232,0,32028,1025792784
2021-02-07,USDC,1416867095,0,26463,700290369
2021-02-08,USDC,1791932105,0,26666,711075556
2021-02-09,USDC,1689656162,0,28916,836135056
2021-02-10,USDC,2156624147,0,32161,1034329921
2021-02-11,USDC,2045704986,0,31224,974938176
2021-02-12,USDC,2186409043,0,33650,1132322500
2021-02-13,USDC,2279143401,0,33435,1117899225
2021-02-14,USDC,1913316177,0,26933,725386489
2021-02-15,USDC,2214311704,0,26086,680479396
2021-02-16,USDC,2062438717,0,35367,1250824689
2021-02-17,USDC,2132590491,0,28922,836482084
2021-02-18,USDC,2094266690,0,29661,879774921
2021-02-19,USDC,2321201287,0,32858,1079648164
2021-02-20,USDC,2471881936,0,34378,1181846884
2021-02-21,USDC,1945631587,0,28935,837234225
2021-02-22,USDC,3584165265,0,31252,976687504
2021-02-23,USDC,4522385569,0,35139,1234749321
2021-02-24,USDC,2427751206,0,35307,1246584249
2021-02-25,USDC,2301651550,0,28926,836713476
2021-02-26,USDC,2459413406,0,33931,1151312761
2021-02-27,USDC,1776838289,0,29578,874858084
2021-02-28,USDC,2268777551,0,28446,809174916
2021-03-01,USDC,1740798094,0,29518,871312324
2021-03-02,USDC,1949254169,0,28021,785176441
2021-03-03,USDC,1905564606,0,29001,841058001
2021-03-04,USDC,1665593866,0,27755,770340025
2021-03-05,USDC,1973917285,0,29233,854568289
2021-03-06,USDC,1275477009,0,23916,571975056
2021-03-07,USDC,1215837774,0,23026,530196676
2021-03-08,USDC,1441044445,0,25729,661981441
2021-03-09,USDC,1683029544,0,30091,905468281
2021-03-10,USDC,1751024086,0,28186,794450596
2021-03-11,USDC,1487841641,0,28400,806560000
2021-03-12,USDC,1612404621,0,31374,984327876
2021-03-13,USDC,2044348842,0,27203,740003209
2021-03-14,USDC,1544999695,0,23132,535089424
2021-03-15,USDC,1927366887,0,26547,704743209
2021-03-16,USDC,1868824949,0,31864,1015314496
2021-03-17,USDC,1782793504,0,29203,852815209
2021-03-18,USDC,1525693757,0,28994,840652036
2021-03-19,USDC,1472879184,0,30065,903904225
2021-03-20,USDC,1191670789,0,27448,753392704
2021-03-21,USDC,1265098606,0,30371,922397641
2021-03-22,USDC,1380781628,0,40871,1670438641
2021-03-23,USDC,1511795325,0,34760,1208257600
2021-03-24,USDC,1916803425,0,36179,1308920041
2021-03-25,USDC,1646557726,0,40993,1680426049
2021-03-26,USDC,1591672366,0,30937,957097969
2021-03-27,USDC,1340283946,0,27815,773674225
2021-03-28,USDC,1294220918,0,23405,547794025
2021-03-29,USDC,1535871374,0,31993,1023552049
2021-03-30,USDC,1506313602,0,31261,977250121
2021-03-31,USDC,1589845937,0,31510,992880100
2021-04-01,USDC,1515653266,0,33142,1098392164
2021-04-02,USDC,1645041684,0,41043,1684527849
2021-04-03,USDC,1521294666,0,29320,859662400
2021-04-04,USDC,1205342903,0,24293,590149849
2021-04-05,USDC,1398732746,0,28513,812991169
2021-04-06,USDC,1519196566,0,35927,1290749329
2021-04-07,USDC,1821911304,0,32695,1068963025
2021-04-08,USDC,1443171575,0,34660,1201315600
2021-04-09,USDC,1140401440,0,32691,1068701481
2021-04-10,USDC,1642749490,0,34456,1187215936
2021-04-11,USDC,1336026255,0,34597,1196952409
2021-04-12,USDC,1582588399,0,45030,2027700900
2021-04-13,USDC,1943769751,0,51535,2655856225
2021-04-14,USDC,2400110758,0,44902,2016189604
2021-04-15,USDC,1888693157,0,34094,1162400836
2021-04-16,USDC,2557259201,0,54509,2971231081
2021-04-17,USDC,2143517952,0,40098,1607849604
2021-04-18,USDC,3829528301,0,42563,1811608969
2021-04-19,USDC,2323105009,0,39644,1571646736
2021-04-20,USDC,2318491536,0,48258,2328834564
2021-04-21,USDC,2311278586,0,48537,2355840369
2021-04-22,USDC,3112810473,0,47510,2257200100
2021-04-23,USDC,3676677427,0,53096,2819185216
2021-04-24,USDC,1788061914,0,36257,1314570049
2021-04-25,USDC,1642128335,0,36524,1334002576
2021-04-26,USDC,2285611608,0,42985,1847710225
2021-04-27,USDC,2024246696,0,41373,1711725129
2021-04-28,USDC,2010047371,0,40906,1673300836
2021-04-29,USDC,1840352705,0,46436,2156302096
2021-04-30,USDC,1906112907,0,37911,1437243921
2021-05-01,USDC,1867976129,0,32758,1073086564
2021-05-02,USDC,1366986801,0,33264,1106493696
2021-05-03,USDC,2684327606,0,38502,1482404004
2021-05-04,USDC,3275014762,0,40746,1660236516
2021-05-05,USDC,2783594521,0,38051,1447878601
2021-05-06,USDC,2220457984,0,37434,1401304356
2021-05-07,USDC,2266049147,0,40868,1670193424
2021-05-08,USDC,2317458254,0,29127,848382129
2021-05-09,USDC,2704843631,0,39628,1570378384
2021-05-10,USDC,3173361075,0,34599,1197090801
2021-05-11,USDC,2566367931,0,29320,859662400
2021-05-12,USDC,3183988042,0,30547,933119209
2021-05-13,USDC,4460022465,0,46658,2176968964
2021-05-14,USDC,3146472043,0,34658,1201176964
2021-05-15,USDC,3328173098,0,31154,970571716
2021-05-16,USDC,3772657577,0,29643,878707449
2021-05-17,USDC,4135608294,0,35558,1264371364
2021-05-18,USDC,3070777038,0,31414,986839396
2021-05-19,USDC,8053431253,0,49484,2448666256
2021-05-20,USDC,5382601764,0,39214,1537737796
2021-05-21,USDC,4613942917,0,37276,1389500176
2021-05-22,USDC,3335609643,0,35614,1268356996
2021-05-23,USDC,5171953965,0,36136,1305810496
2021-05-24,USDC,4286226504,0,37495,1405875025
2021-05-25,USDC,3043007002,0,32954,1085966116
2021-05-26,USDC,2604239878,0,37461,1403326521
2021-05-27,USDC,1971138940,0,34150,1166222500
2021-05-28,USDC,2707603887,0,33783,1141291089
2021-05-29,USDC,2227562471,0,30931,956726761
2021-05-30,USDC,2190418517,0,26657,710595649
2021-05-31,USDC,2333931932,0,28331,802645561
2021-06-01,USDC,1999280287,0,30466,928177156
2021-06-02,USDC,1776182592,0,34494,1189836036
2021-06-03,USDC,2167192412,0,33608,1129497664
2021-06-04,USDC,2570089020,0,34299,1176421401
2021-06-05,USDC,1876582877,0,23595,556724025
2021-06-06,USDC,1383139177,0,22262,495596644
2021-06-07,USDC,1862347845,0,31312,980441344
2021-06-08,USDC,2790193245,0,34638,1199791044
2021-06-09,USDC,2342690520,0,28671,822026241
2021-06-10,USDC,1900199959,0,30687,941691969
2021-06-11,USDC,1874628476,0,31409,986525281
2021-06-12,USDC,1727912702,0,24934,621704356
2021-06-13,USDC,1731376606,0,23127,534858129
2021-06-14,USDC,1729527102,0,37647,1417296609
2021-06-15,USDC,1933931509,0,33593,1128489649
2021-06-16,USDC,1915334512,0,33471,1120307841
2021-06-17,USDC,2154845901,0,35294,1245666436
2021-06-18,USDC,2071077950,0,34190,1168956100
2021-06-19,USDC,1592022973,0,26267,689955289
2021-06-20,USDC,2004269887,0,26375,695640625
2021-06-21,USDC,4276274311,0,34265,1174090225
2021-06-22,USDC,4227695695,0,38743,1501020049
2021-06-23,USDC,3250654168,0,32300,1043290000
2021-06-24,USDC,2086547894,0,30705,942797025
2021-06-25,USDC,2278575965,0,29009,841522081
2021-06-26,USDC,2166740089,0,26980,727920400
2021-06-27,USDC,2006379615,0,23491,551827081
2021-06-28,USDC,2280426599,0,28931,837002761
2021-06-29,USDC,2367988438,0,37181,1382426761
2021-06-30,USDC,2251615883,0,28763,827310169
2021-07-01,USDC,2063325693,0,26413,697646569
2021-07-02,USDC,1787895570,0,27462,754161444
2021-07-03,USDC,1491016821,0,24751,612612001
2021-07-04,USDC,1578667344,0,25203,635191209
2021-07-05,USDC,1887495558,0,24422,596434084
2021-07-06,USDC,2312601910,0,25193,634687249
2021-07-07,USDC,1998620780,0,25344,642318336
2021-07-08,USDC,2270470755,0,27724,768620176
2021-07-09,USDC,1926093225,0,26427,698386329
2021-07-10,USDC,1688326088,0,22824,520934976
2021-07-11,USDC,1380260792,0,21678,469935684
2021-07-12,USDC,1869328110,0,26530,703840900
2021-07-13,USDC,2052753217,0,28611,818589321
2021-07-14,USDC,2178980895,0,30599,936298801
2021-07-15,USDC,2024673761,0,27555,759278025
2021-07-16,USDC,1967709606,0,28095,789329025
