asset,time,TxTfrCnt
usdc,2020-08-23T00:00:00.000000000Z,17371
usdc,2020-08-24T00:00:00.000000000Z,20196
usdc,2020-08-25T00:00:00.000000000Z,22414
usdc,2020-08-26T00:00:00.000000000Z,23611
usdc,2020-08-27T00:00:00.000000000Z,22930
usdc,2020-08-28T00:00:00.000000000Z,23529
usdc,2020-08-29T00:00:00.000000000Z,19760
usdc,2020-08-30T00:00:00.000000000Z,19771
usdc,2020-08-31T00:00:00.000000000Z,20794
usdc,2020-09-01T00:00:00.000000000Z,27124
usdc,2020-09-02T00:00:00.000000000Z,30174
usdc,2020-09-03T00:00:00.000000000Z,31846
usdc,2020-09-04T00:00:00.000000000Z,34786
usdc,2020-09-05T00:00:00.000000000Z,37934
usdc,2020-09-06T00:00:00.000000000Z,30341
usdc,2020-09-07T00:00:00.000000000Z,25330
usdc,2020-09-08T00:00:00.000000000Z,30612
usdc,2020-09-09T00:00:00.000000000Z,35724
usdc,2020-09-10T00:00:00.000000000Z,37077
usdc,2020-09-11T00:00:00.000000000Z,38166
usdc,2020-09-12T00:00:00.000000000Z,33465
usdc,2020-09-13T00:00:00.000000000Z,31846
usdc,2020-09-14T00:00:00.000000000Z,33861
usdc,2020-09-15T00:00:00.000000000Z,37075
usdc,2020-09-16T00:00:00.000000000Z,35161
usdc,2020-09-17T00:00:00.000000000Z,28770
usdc,2020-09-18T00:00:00.000000000Z,31844
usdc,2020-09-19T00:00:00.000000000Z,35100
usdc,2020-09-20T00:00:00.000000000Z,34943
usdc,2020-09-21T00:00:00.000000000Z,34253
usdc,2020-09-22T00:00:00.000000000Z,29558
usdc,2020-09-23T00:00:00.000000000Z,35794
usdc,2020-09-24T00:00:00.000000000Z,33277
usdc,2020-09-25T00:00:00.000000000Z,30236
usdc,2020-09-26T00:00:00.000000000Z,26878
usdc,2020-09-27T00:00:00.000000000Z,22226
usdc,2020-09-28T00:00:00.000000000Z,25471
usdc,2020-09-29T00:00:00.000000000Z,31608
usdc,2020-09-30T00:00:00.000000000Z,31594
usdc,2020-10-01T00:00:00.000000000Z,36689
usdc,2020-10-02T00:00:00.000000000Z,38792
usdc,2020-10-03T00:00:00.000000000Z,25561
usdc,2020-10-04T00:00:00.000000000Z,25940
usdc,2020-10-05T00:00:00.000000000Z,31158
usdc,2020-10-06T00:00:00.000000000Z,33698
usdc,2020-10-07T00:00:00.000000000Z,29735
usdc,2020-10-08T00:00:00.000000000Z,28424
usdc,2020-10-09T00:00:00.000000000Z,28664
usdc,2020-10-10T00:00:00.000000000Z,22925
usdc,2020-10-11T00:00:00.000000000Z,22477
usdc,2020-10-12T00:00:00.000000000Z,25690
usdc,2020-10-13T00:00:00.000000000Z,28545
usdc,2020-10-14T00:00:00.000000000Z,26074
usdc,2020-10-15T00:00:00.000000000Z,60088
usdc,2020-10-16T00:00:00.000000000Z,50820
usdc,2020-10-17T00:00:00.000000000Z,40859
usdc,2020-10-18T00:00:00.000000000Z,23808
usdc,2020-10-19T00:00:00.000000000Z,30032
usdc,2020-10-20T00:00:00.000000000Z,39980
usdc,2020-10-21T00:00:00.000000000Z,52953
usdc,2020-10-22T00:00:00.000000000Z,52704
usdc,2020-10-23T00:00:00.000000000Z,45488
usdc,2020-10-24T00:00:00.000000000Z,37938
usdc,2020-10-25T00:00:00.000000000Z,34931
usdc,2020-10-26T00:00:00.000000000Z,51939
usdc,2020-10-27T00:00:00.000000000Z,43392
usdc,2020-10-28T00:00:00.000000000Z,45550
usdc,2020-10-29T00:00:00.000000000Z,50761
usdc,2020-10-30T00:00:00.000000000Z,50268
usdc,2020-10-31T00:00:00.000000000Z,49849
usdc,2020-11-01T00:00:00.000000000Z,45093
usdc,2020-11-02T00:00:00.000000000Z,51364
usdc,2020-11-03T00:00:00.000000000Z,57298
usdc,2020-11-04T00:00:00.000000000Z,52444
usdc,2020-11-05T00:00:00.000000000Z,50792
usdc,2020-11-06T00:00:00.000000000Z,52613
usdc,2020-11-07T00:00:00.000000000Z,54156
usdc,2020-11-08T00:00:00.000000000Z,51768
usdc,2020-11-09T00:00:00.000000000Z,59845
usdc,2020-11-10T00:00:00.000000000Z,46718
usdc,2020-11-11T00:00:00.000000000Z,44380
usdc,2020-11-12T00:00:00.000000000Z,45846
usdc,2020-11-13T00:00:00.000000000Z,45744
usdc,2020-11-14T00:00:00.000000000Z,46196
usdc,2020-11-15T00:00:00.000000000Z,41556
usdc,2020-11-16T00:00:00.000000000Z,46541
usdc,2020-11-17T00:00:00.000000000Z,57480
usdc,2020-11-18T00:00:00.000000000Z,54873
usdc,2020-11-19T00:00:00.000000000Z,51281
usdc,2020-11-20T00:00:00.000000000Z,60084
usdc,2020-11-21T00:00:00.000000000Z,64553
usdc,2020-11-22T00:00:00.000000000Z,62360
usdc,2020-11-23T00:00:00.000000000Z,58832
usdc,2020-11-24T00:00:00.000000000Z,64245
usdc,2020-11-25T00:00:00.000000000Z,63894
usdc,2020-11-26T00:00:00.000000000Z,60936
usdc,2020-11-27T00:00:00.000000000Z,40886
usdc,2020-11-28T00:00:00.000000000Z,51397
usdc,2020-11-29T00:00:00.000000000Z,44340
usdc,2020-11-30T00:00:00.000000000Z,63100
usdc,2020-12-01T00:00:00.000000000Z,53913
usdc,2020-12-02T00:00:00.000000000Z,33806
usdc,2020-12-03T00:00:00.000000000Z,35655
usdc,2020-12-04T00:00:00.000000000Z,35653
usdc,2020-12-05T00:00:00.000000000Z,30578
usdc,2020-12-06T00:00:00.000000000Z,28958
usdc,2020-12-07T00:00:00.000000000Z,32440
usdc,2020-12-08T00:00:00.000000000Z,37101
usdc,2020-12-09T00:00:00.000000000Z,36100
usdc,2020-12-10T00:00:00.000000000Z,33005
usdc,2020-12-11T00:00:00.000000000Z,44774
usdc,2020-12-12T00:00:00.000000000Z,71095
usdc,2020-12-13T00:00:00.000000000Z,70717
usdc,2020-12-14T00:00:00.000000000Z,59975
usdc,2020-12-15T00:00:00.000000000Z,62178
usdc,2020-12-16T00:00:00.000000000Z,56107
usdc,2020-12-17T00:00:00.000000000Z,66768
usdc,2020-12-18T00:00:00.000000000Z,43606
usdc,2020-12-19T00:00:00.000000000Z,43270
usdc,2020-12-20T00:00:00.000000000Z,42845
usdc,2020-12-21T00:00:00.000000000Z,45032
usdc,2020-12-22T00:00:00.000000000Z,53484
usdc,2020-12-23T00:00:00.000000000Z,48640
usdc,2020-12-24T00:00:00.000000000Z,44332
usdc,2020-12-25T00:00:00.000000000Z,46186
usdc,2020-12-26T00:00:00.000000000Z,48632
usdc,2020-12-27T00:00:00.000000000Z,50054
usdc,2020-12-28T00:00:00.000000000Z,46144
usdc,2020-12-29T00:00:00.000000000Z,51375
usdc,2020-12-30T00:00:00.000000000Z,48332
usdc,2020-12-31T00:00:00.000000000Z,48611
usdc,2021-01-01T00:00:00.000000000Z,49531
usdc,2021-01-02T00:00:00.000000000Z,54162
usdc,2021-01-03T00:00:00.000000000Z,50282
usdc,2021-01-04T00:00:00.000000000Z,51546
usdc,2021-01-05T00:00:00.000000000Z,50742
usdc,2021-01-06T00:00:00.000000000Z,52809
usdc,2021-01-07T00:00:00.000000000Z,51165
usdc,2021-01-08T00:00:00.000000000Z,52911
usdc,2021-01-09T00:00:00.000000000Z,51819
usdc,2021-01-10T00:00:00.000000000Z,52689
usdc,2021-01-11T00:00:00.000000000Z,58444
usdc,2021-01-12T00:00:00.000000000Z,50326
usdc,2021-01-13T00:00:00.000000000Z,47993
usdc,2021-01-14T00:00:00.000000000Z,53815
usdc,2021-01-15T00:00:00.000000000Z,52212
usdc,2021-01-16T00:00:00.000000000Z,48739
usdc,2021-01-17T00:00:00.000000000Z,49615
usdc,2021-01-18T00:00:00.000000000Z,47886
usdc,2021-01-19T00:00:00.000000000Z,50173
usdc,2021-01-20T00:00:00.000000000Z,50941
usdc,2021-01-21T00:00:00.000000000Z,50365
usdc,2021-01-22T00:00:00.000000000Z,54456
usdc,2021-01-23T00:00:00.000000000Z,43149
usdc,2021-01-24T00:00:00.000000000Z,41093
usdc,2021-01-25T00:00:00.000000000Z,48669
usdc,2021-01-26T00:00:00.000000000Z,54721
usdc,2021-01-27T00:00:00.000000000Z,51974
usdc,2021-01-28T00:00:00.000000000Z,53382
usdc,2021-01-29T00:00:00.000000000Z,60703
usdc,2021-01-30T00:00:00.000000000Z,45907
usdc,2021-01-31T00:00:00.000000000Z,44208
usdc,2021-02-01T00:00:00.000000000Z,47369
usdc,2021-02-02T00:00:00.000000000Z,48819
usdc,2021-02-03T00:00:00.000000000Z,52272
usdc,2021-02-04T00:00:00.000000000Z,55290
usdc,2021-02-05T00:00:00.000000000Z,52226
usdc,2021-02-06T00:00:00.000000000Z,55647
usdc,2021-02-07T00:00:00.000000000Z,49013
usdc,2021-02-08T00:00:00.000000000Z,47802
usdc,2021-02-09T00:00:00.000000000Z,50297
usdc,2021-02-10T00:00:00.000000000Z,54462
usdc,2021-02-11T00:00:00.000000000Z,53948
usdc,2021-02-12T00:00:00.000000000Z,58405
usdc,2021-02-13T00:00:00.000000000Z,59084
usdc,2021-02-14T00:00:00.000000000Z,49095
usdc,2021-02-15T00:00:00.000000000Z,46865
usdc,2021-02-16T00:00:00.000000000Z,55204
usdc,2021-02-17T00:00:00.000000000Z,52103
usdc,2021-02-18T00:00:00.000000000Z,52893
