id,name,symbol,peg_type,peg_mechanism
161,Quantoz EURD,EURD,peggedEUR,fiat-backed
165,AUDD,AUDD,peggedAUD,fiat-backed
167,Fractional ETH,fETH,peggedVAR,crypto-backed
170,EURO3,EURO3,peggedEUR,crypto-backed
179,CJPY,CJPY,peggedJPY,crypto-backed
182,Zunami ETH,zunETH,peggedVAR,crypto-backed
186,International Stable Currency,ISC,peggedVAR,fiat-backed
199,Celo Real,CREAL,peggedREAL,crypto-backed
200,Hedera Swiss Franc,HCHF,peggedCHF,crypto-backed
226,Frankencoin,ZCHF,peggedCHF,crypto-backed
239,StablR Euro,EURR,peggedEUR,fiat-backed
247,Schuman EUROP,EUROP,peggedEUR,fiat-backed
249,Brazilian Digital,BRZ,peggedREAL,fiat-backed
254,EUR CoinVertible,EURCV,peggedEUR,fiat-backed
258,A7A5,A7A5,peggedRUB,fiat-backed
274,Quantoz EURQ,EURQ,peggedEUR,fiat-backed
280,Tether CNH,CNHT,peggedCNY,fiat-backed
281,Mexican Peso Tether,MXNT,peggedMXN,fiat-backed
289,XSGD,XSGD,peggedSGD,fiat-backed
292,VNX British Pound,VGBP,peggedGBP,fiat-backed
299,PHT Stablecoin,PHT,peggedPHP,crypto-backed
300,Bilira,TRYB,peggedTRY,fiat-backed
317,Tokenised GBP,tGBP,peggedGBP,fiat-backed
319,AllUnity EUR,EURAU,peggedEUR,fiat-backed
325,Eurite,EURI,peggedEUR,fiat-backed
334,Macropod,AUDM,peggedAUD,fiat-backed
351,Tetris Money,RUBT,peggedRUB,fiat-backed
352,BRTH,BRTH,peggedREAL,fiat-backed
355,JPY Coin,JPYC,peggedJPY,fiat-backed
